"Time","Return","Price","RelativeConditionalScale","CascadeActivity","FineScaleDissipation"
4580,0.008994807945521549,20.83336424307527,1.1742181859673209,0.009247963790171064,0.0012792063454151728
4581,-0.004164853726851567,20.746776765615955,1.1618232284863634,0.00855249204932685,0.0011583818032501424
4582,0.00027329514409283186,20.752447533822995,1.1505006972530418,0.007922481176322296,0.0010506196493712356
4583,0.030388069737589302,21.39275392161514,1.140144696304879,0.007350618200358045,0.0009543238100546783
4584,-0.02546371066823424,20.8548920668628,1.1306606396880141,0.006830525599129925,0.0008681153860052349
4585,0.007833235429404313,21.018894843864793,1.1219640217533156,0.006356627714620338,0.0007908002165784209
4586,-0.011213871074940103,20.784508313303718,1.113979309503333,0.005924038064521871,0.0007213416922228271
4587,-0.015761030056208127,20.459491084333003,1.106638949804989,0.005528464022722029,0.0006588379059501562
4588,-0.025973380687638378,19.93493072608815,1.0998824829272889,0.005166125976238393,0.0006025024014517191
4589,0.015804746419389386,20.252500193104613,1.093655753298576,0.00483368857998521,0.0005516479102214078
4590,0.004072454044079774,20.33514574029299,1.0879102083394014,0.004528202148392787,0.000505672579104646
4591,-0.018968739573664184,19.953049059646403,1.082602276525821,0.004247052563034889,0.0004640482781577062
4592,-0.006487935009031032,19.824014012241737,1.0776928163405808,0.003987918353091696,0.00042631065062430297
4593,-0.0028838098294876303,19.766927678401196,1.0731466283837325,0.0037487338327102213,0.00039205062544680797
4594,-0.014989764518836459,19.47283577808704,1.068932023576808,0.0035276573657424927,0.00036090716060569237
4595,0.00013806977923251507,19.4755245738404,1.0650204410640451,0.003323043981656427,0.0003325610247832209
4596,-0.0011263224409759896,19.453601202173513,1.0613861100636273,0.003133421692818398,0.0003067294570253037
4597,0.012526323225574702,19.69881591173597,1.0580057505352873,0.002957470967822661,0.0002831615705515527
4598,-0.007176594662081125,19.557951562366892,1.054858308099061,0.002794006902108648,0.00026163438870095614
4599,0.018945222370195396,19.932013458553577,1.0519247191595058,0.002641963699008833,0.00024194941905516533
4600,-0.006879875906839628,19.795354317388306,1.0491877026596168,0.0025003811342363537,0.00022392968674394905
4601,0.000251309050674196,19.800329694242002,1.0466315753103757,0.0023683927267866807,0.00020741716036661695
4602,0.017359639244937993,20.147057098640595,1.0442420875179868,0.0022452153810273894,0.00019227051431201924
4603,0.0017202615207725835,20.181745133415568,1.0420062775647687,0.002130140299800199,0.00017836317989603244
4604,-0.002619597708282461,20.128946266204146,1.0399123418949796,0.0020225249978169852,0.00016558164495885665
4605,0.0072744436592461345,20.27590703257903,1.037949519617338,0.0019217862694444407,0.0001538239676195048
4606,0.007030078054478838,20.418950455734574,1.0361079895652108,0.0018273939859188974,0.00014299847497158482
4607,0.00030253977998729556,20.42512893508379,1.0343787784568454,0.001738865614754231,0.00013302262178685792
4608,0.019441012639826612,20.82609912927742,1.0327536788747544,0.0016557613691302988,0.00012382198790584936
4609,0.003306357810345243,20.89507162583493,1.031225175938307,0.001577679907813965,0.00011532939604896926
4610,0.01700470497760296,21.253424360519226,1.0297863816793833,0.001504254517031584,0.00010748413436875312
4611,-0.01593644745164711,20.91740487005889,1.028430976249886,0.001435149714981519,0.00010023127025971673
4612,-0.010174374128279446,20.7056623674301,1.0271531551941033,0.0013700582275981451,0.00009352104380972554
4613,-0.0246760480297528,20.200980829727033,1.0259475821101895,0.0013086982909635578,0.00008730833086786669
4614,-0.004676708708493007,20.10672729670949,1.0248093461049899,0.0012508112415843165,0.00008155216706199638
4615,-0.003206636954820319,20.042355585432098,1.0237339235165372,0.0011961593607541098,0.00007621532526062868
4616,-0.008636598326068843,19.870003151428588,1.0227171434399989,0.0011445239435318528,0.00007126393996889665
4617,0.009629992818369243,20.06227544358395,1.0217551566467677,0.0010957035665815163,0.00006666717300229801
4618,-0.00441907630338677,19.973814319764628,1.0208444075337315,0.0010495125323318037,0.00006239691551609768
4619,0.012343147218767211,20.221881868084235,1.0199816087813218,0.0010057794696939914,0.000058427522100473865
4620,-0.012758283393585146,19.965524187777305,1.019163718435495,0.0009643460739868346,0.0000547355731968194
4621,-0.016003804530882137,19.64854305878519,1.0183879191609542,0.0009250659708109799,0.000051299662561746086
4622,-0.007491674776584482,19.50189257910306,1.0176515994412216,0.0008878036904364204,0.00004810020691302761
4623,0.007578803994611983,19.650255095560414,1.016952336526122,0.0008524337408531466,0.00004511927524504697
4624,0.008484860203380682,19.817694106775253,1.0162878809492295,0.0008188397690195735,0.00004234043560800172
4625,-0.0034048515847258562,19.750332542731186,1.0156561424572579,0.0007869138010531794,0.000039748617411719765
4626,0.011912433022578604,19.987013983353723,1.0150551772105159,0.000756555553166631,0.000037329987547027384
4627,0.02527396322307698,20.498602745342698,1.014483176128738,0.0007276718060807014,0.00003507183881994844
4628,-0.0020205110613615127,20.4572269060001,1.0139384542700134,0.0007001758364598207,0.000032962489370659264
4629,-0.015488522051273863,20.142815862574928,1.0134194411424375,0.0006739868996320109,0.00003099119190355391
4630,-0.0005686529335496458,20.131364847379984,1.0129246718586682,0.0006490297584850544,0.000029148051689964144
